Review_Rating,,Review_Rating Avgerage,,,Movie Length,,Movie Length Average
3.7,,4.793209877,,,82,,90.92052469
5.1,,,,,90,,
4.6,,,,,90,,
3.6,,,,,70,,
2.7,,,,,86,,
3.6,,,,,85,,
4.7,,,,,82,,
4,,,,,100,,
4.1,,,,,83,,
5.4,,,,,89,,
6.2,,,,,140,,
5.6,,,,,81,,
5.3,,,,,90,,
2.1,,,,,87,,
4.1,,,,,96,,
4.1,,,,,95,,
4.4,,,,,93,,
4.1,,,,,85,,
2,,,,,100,,
3.5,,,,,94,,
6.9,,,,,90,,
4.1,,,,,75,,
3.5,,,,,76,,
1.4,,,,,75,,
2.2,,,,,79,,
5.1,,,,,93,,
3.5,,,,,93,,
5.4,,,,,87,,
3,,,,,75,,
6.6,,,,,95,,
2.4,,,,,94,,
4.8,,,,,83,,
4.8,,,,,67,,
3.4,,,,,91,,
3.8,,,,,80,,
6,,,,,61,,
2.9,,,,,90,,
1.9,,,,,85,,
4.4,,,,,83,,
3.4,,,,,81,,
2.5,,,,,90,,
3.9,,,,,88,,
2.7,,,,,82,,
6.4,,,,,100,,
3.4,,,,,85,,
4,,,,,85,,
3.7,,,,,83,,
6.9,,,,,90,,
5.1,,,,,71,,
2.8,,,,,81,,
4.2,,,,,85,,
6.3,,,,,84,,
4.5,,,,,85,,
6.2,,,,,151,,
3.6,,,,,75,,
4.9,,,,,80,,
2.9,,,,,75,,
3.7,,,,,83,,
3.9,,,,,87,,
2,,,,,74,,
3.6,,,,,79,,
4.6,,,,,65,,
5.1,,,,,86,,
4.7,,,,,96,,
3.5,,,,,86,,
8,,,,,75,,
4.9,,,,,120,,
3,,,,,92,,
3.6,,,,,92,,
4.4,,,,,85,,
3.6,,,,,87,,
2.5,,,,,97,,
4.3,,,,,95,,
3.4,,,,,96,,
7.1,,,,,90,,
8.6,,,,,73,,
4.7,,,,,96,,
4.3,,,,,72,,
3.5,,,,,85,,
3.8,,,,,87,,
3.9,,,,,96,,
5,,,,,87,,
4.2,,,,,97,,
4.2,,,,,84,,
5.8,,,,,93,,
3.4,,,,,93,,
5.8,,,,,86,,
4.5,,,,,91,,
3.3,,,,,96,,
4.4,,,,,98,,
5.6,,,,,84,,
3.9,,,,,90,,
5.5,,,,,89,,
1.9,,,,,75,,
4.5,,,,,77,,
4.1,,,,,81,,
4.3,,,,,86,,
3.2,,,,,110,,
4.1,,,,,90,,
6.6,,,,,89,,
3.7,,,,,96,,
4.8,,,,,97,,
5.2,,,,,73,,
5.9,,,,,102,,
7.5,,,,,74,,
5.2,,,,,98,,
3.4,,,,,86,,
4.4,,,,,81,,
4.3,,,,,84,,
3,,,,,84,,
4,,,,,90,,
6.9,,,,,80,,
4.3,,,,,88,,
3,,,,,75,,
3.2,,,,,83,,
3.8,,,,,116,,
3.2,,,,,77,,
3.7,,,,,90,,
4.9,,,,,94,,
3.7,,,,,88,,
4.3,,,,,73,,
5.8,,,,,90,,
3.9,,,,,91,,
5.4,,,,,80,,
4.1,,,,,80,,
5.3,,,,,107,,
2.6,,,,,90,,
6.9,,,,,100,,
3.5,,,,,85,,
4.2,,,,,87,,
5.1,,,,,90,,
5.6,,,,,91,,
4.3,,,,,110,,
4.5,,,,,81,,
7.8,,,,,88,,
3.9,,,,,85,,
3.8,,,,,85,,
2.5,,,,,86,,
6,,,,,105,,
5.6,,,,,89,,
3.6,,,,,93,,
3.3,,,,,84,,
4.8,,,,,70,,
4.1,,,,,68,,
3.5,,,,,101,,
5.4,,,,,103,,
4.3,,,,,82,,
2.2,,,,,82,,
5.7,,,,,90,,
3.1,,,,,90,,
1.6,,,,,71,,
7.5,,,,,105,,
4.7,,,,,92,,
4.4,,,,,90,,
4.4,,,,,95,,
4.9,,,,,91,,
4.7,,,,,88,,
3.7,,,,,99,,
2.9,,,,,83,,
7.9,,,,,180,,
2.4,,,,,89,,
6.3,,,,,93,,
2.6,,,,,89,,
3.7,,,,,74,,
5.1,,,,,103,,
4,,,,,95,,
6.2,,,,,93,,
5.4,,,,,89,,
4.6,,,,,81,,
4.9,,,,,89,,
4.9,,,,,90,,
4.8,,,,,98,,
5.5,,,,,97,,
3.1,,,,,90,,
4.7,,,,,95,,
3.9,,,,,73,,
3.1,,,,,70,,
2.9,,,,,84,,
5.1,,,,,77,,
3.2,,,,,80,,
3.2,,,,,92,,
4.2,,,,,80,,
2.2,,,,,83,,
6.4,,,,,97,,
4.8,,,,,91,,
2.9,,,,,95,,
3.1,,,,,95,,
4,,,,,78,,
5.1,,,,,88,,
3.2,,,,,94,,
3.2,,,,,93,,
2.5,,,,,76,,
4.6,,,,,108,,
4.9,,,,,80,,
5.3,,,,,85,,
5.4,,,,,89,,
3.4,,,,,83,,
4.7,,,,,94,,
3,,,,,70,,
4.5,,,,,80,,
5.7,,,,,75,,
3.2,,,,,103,,
4.2,,,,,80,,
3.9,,,,,105,,
4.8,,,,,89,,
3.4,,,,,87,,
4.3,,,,,98,,
4.3,,,,,95,,
2.3,,,,,78,,
4.5,,,,,90,,
3.6,,,,,82,,
5.8,,,,,101,,
3.6,,,,,80,,
3.4,,,,,87,,
4.4,,,,,83,,
5,,,,,90,,
3.7,,,,,82,,
5.7,,,,,92,,
3.9,,,,,76,,
3.8,,,,,76,,
4.7,,,,,89,,
2.6,,,,,93,,
5.2,,,,,105,,
6.5,,,,,90,,
5.3,,,,,79,,
5.1,,,,,80,,
3.4,,,,,90,,
4.2,,,,,82,,
6.1,,,,,107,,
3.9,,,,,90,,
6.4,,,,,77,,
5.3,,,,,94,,
3,,,,,90,,
3.6,,,,,79,,
4.2,,,,,78,,
4.5,,,,,72,,
4.1,,,,,83,,
3.7,,,,,82,,
4.2,,,,,90,,
3.4,,,,,93,,
4.3,,,,,79,,
4.1,,,,,67,,
5.1,,,,,93,,
5.5,,,,,103,,
5.4,,,,,80,,
5,,,,,89,,
4.6,,,,,72,,
2.1,,,,,90,,
2.4,,,,,73,,
3.3,,,,,91,,
7.3,,,,,85,,
6.6,,,,,63,,
6.5,,,,,94,,
3.1,,,,,75,,
4.4,,,,,95,,
3.4,,,,,94,,
2.8,,,,,76,,
7.4,,,,,79,,
5.1,,,,,82,,
7.5,,,,,45,,
3.5,,,,,74,,
4,,,,,87,,
4.7,,,,,82,,
5.8,,,,,122,,
4.7,,,,,125,,
3.5,,,,,70,,
4,,,,,90,,
4.5,,,,,80,,
3,,,,,94,,
3.7,,,,,91,,
5,,,,,124,,
5.2,,,,,106,,
5.2,,,,,78,,
6,,,,,61,,
3.9,,,,,86,,
3,,,,,89,,
5.6,,,,,94,,
4.7,,,,,68,,
5,,,,,80,,
5.7,,,,,77,,
5.8,,,,,83,,
4.1,,,,,80,,
3.5,,,,,88,,
3.7,,,,,90,,
3.6,,,,,81,,
4.6,,,,,75,,
4.9,,,,,103,,
3.9,,,,,80,,
5.9,,,,,71,,
4.2,,,,,92,,
3.5,,,,,90,,
2.8,,,,,89,,
5,,,,,82,,
4,,,,,71,,
6.6,,,,,84,,
3,,,,,86,,
3.1,,,,,103,,
3.9,,,,,86,,
4.5,,,,,77,,
4,,,,,89,,
4.2,,,,,86,,
5.2,,,,,103,,
2.3,,,,,102,,
6.2,,,,,81,,
5.1,,,,,92,,
2,,,,,94,,
2.2,,,,,97,,
3,,,,,93,,
5.5,,,,,90,,
3.6,,,,,88,,
4.7,,,,,93,,
3.2,,,,,139,,
1.8,,,,,82,,
4.3,,,,,83,,
6.9,,,,,98,,
1.9,,,,,90,,
5.1,,,,,98,,
4.7,,,,,88,,
3.7,,,,,84,,
4.1,,,,,95,,
4.5,,,,,71,,
4.7,,,,,88,,
4.8,,,,,85,,
7.6,,,,,95,,
3.4,,,,,99,,
4.8,,,,,100,,
5.7,,,,,85,,
2.9,,,,,75,,
3.1,,,,,86,,
3.4,,,,,80,,
8.1,,,,,90,,
3.6,,,,,76,,
3.9,,,,,91,,
3.5,,,,,95,,
3.1,,,,,96,,
4.2,,,,,88,,
5.1,,,,,92,,
4.2,,,,,92,,
4.1,,,,,84,,
3.8,,,,,127,,
5.2,,,,,76,,
4.9,,,,,88,,
2.7,,,,,83,,
4.2,,,,,114,,
3.4,,,,,84,,
6.9,,,,,71,,
4.4,,,,,100,,
4.3,,,,,86,,
3,,,,,75,,
3.1,,,,,82,,
3.6,,,,,80,,
4.3,,,,,105,,
5.2,,,,,93,,
5.4,,,,,95,,
3.2,,,,,78,,
5.9,,,,,85,,
4.4,,,,,75,,
2.5,,,,,81,,
4.9,,,,,87,,
5,,,,,90,,
6.1,,,,,85,,
3.7,,,,,85,,
5.6,,,,,80,,
4.6,,,,,96,,
5.5,,,,,89,,
5.7,,,,,100,,
3.5,,,,,95,,
6.3,,,,,104,,
5.7,,,,,90,,
5.2,,,,,83,,
4.4,,,,,95,,
6.9,,,,,83,,
2.3,,,,,86,,
4,,,,,90,,
3.9,,,,,96,,
2.2,,,,,73,,
5,,,,,107,,
3.4,,,,,133,,
4.7,,,,,92,,
4,,,,,84,,
4.8,,,,,89,,
4.5,,,,,92,,
6,,,,,87,,
6.8,,,,,98,,
4.3,,,,,88,,
5.1,,,,,84,,
5.1,,,,,87,,
3.9,,,,,115,,
6.5,,,,,91,,
4.7,,,,,105,,
7.8,,,,,91,,
4.9,,,,,90,,
4.3,,,,,97,,
4.8,,,,,99,,
6.1,,,,,88,,
5.1,,,,,55,,
4.5,,,,,75,,
3.5,,,,,78,,
3.2,,,,,91,,
3.5,,,,,94,,
4.6,,,,,95,,
4.3,,,,,74,,
6.4,,,,,108,,
4.2,,,,,88,,
4.6,,,,,80,,
6.6,,,,,97,,
5.2,,,,,82,,
6.9,,,,,88,,
4.2,,,,,99,,
4,,,,,91,,
5.6,,,,,110,,
3.6,,,,,74,,
4.6,,,,,70,,
4.6,,,,,87,,
3.6,,,,,92,,
5.9,,,,,104,,
3,,,,,69,,
6.3,,,,,103,,
7.7,,,,,124,,
3.7,,,,,88,,
4,,,,,80,,
3.2,,,,,94,,
2.5,,,,,77,,
7.5,,,,,64,,
2.3,,,,,87,,
7,,,,,90,,
4,,,,,68,,
2.6,,,,,101,,
4,,,,,139,,
5,,,,,81,,
2.4,,,,,89,,
4.2,,,,,81,,
7.4,,,,,85,,
3.2,,,,,88,,
5,,,,,84,,
5.5,,,,,86,,
3.8,,,,,88,,
3.8,,,,,92,,
5.6,,,,,108,,
5.7,,,,,80,,
3.2,,,,,76,,
4.1,,,,,106,,
2.6,,,,,90,,
3.8,,,,,70,,
3.2,,,,,99,,
4.1,,,,,78,,
5.7,,,,,95,,
4.5,,,,,90,,
3.1,,,,,90,,
4.1,,,,,86,,
4.3,,,,,100,,
2.3,,,,,83,,
2.8,,,,,104,,
5.4,,,,,86,,
4.2,,,,,95,,
4,,,,,130,,
5.9,,,,,99,,
2.5,,,,,83,,
3.3,,,,,92,,
4,,,,,84,,
2.1,,,,,75,,
3.4,,,,,90,,
4.2,,,,,90,,
3.1,,,,,80,,
4.2,,,,,95,,
3.9,,,,,83,,
2.4,,,,,95,,
4.7,,,,,93,,
5.4,,,,,84,,
2.8,,,,,77,,
4.3,,,,,85,,
3.2,,,,,87,,
5,,,,,72,,
5.7,,,,,94,,
3.7,,,,,133,,
5.3,,,,,91,,
3.3,,,,,90,,
4.4,,,,,92,,
6,,,,,65,,
5,,,,,95,,
6.2,,,,,110,,
4.8,,,,,85,,
4.2,,,,,98,,
6,,,,,91,,
3.5,,,,,79,,
4.7,,,,,84,,
7.1,,,,,95,,
3.1,,,,,90,,
4.1,,,,,90,,
2.8,,,,,89,,
5.8,,,,,93,,
4.8,,,,,90,,
4.8,,,,,90,,
3.4,,,,,73,,
3.9,,,,,74,,
3.8,,,,,90,,
1.7,,,,,87,,
3.9,,,,,73,,
6.4,,,,,87,,
3.8,,,,,84,,
4,,,,,73,,
3.6,,,,,83,,
4.7,,,,,86,,
4.3,,,,,81,,
4.8,,,,,90,,
4.2,,,,,87,,
3.6,,,,,84,,
5.1,,,,,88,,
5.6,,,,,87,,
4.8,,,,,74,,
4.6,,,,,89,,
4.6,,,,,95,,
4.4,,,,,82,,
7,,,,,90,,
4.5,,,,,100,,
5.7,,,,,79,,
4.9,,,,,90,,
4.4,,,,,80,,
3.7,,,,,91,,
3.3,,,,,85,,
3.5,,,,,100,,
4.5,,,,,82,,
4.4,,,,,87,,
2.1,,,,,90,,
5.5,,,,,90,,
3.5,,,,,84,,
4.3,,,,,85,,
2.5,,,,,77,,
5.9,,,,,86,,
4.6,,,,,86,,
4,,,,,94,,
3.1,,,,,84,,
4.5,,,,,97,,
4.4,,,,,90,,
2.7,,,,,86,,
4.6,,,,,87,,
6.4,,,,,97,,
3.4,,,,,94,,
3.7,,,,,93,,
5.2,,,,,90,,
4.3,,,,,86,,
4.9,,,,,90,,
4.7,,,,,79,,
3.6,,,,,88,,
2.7,,,,,113,,
1.9,,,,,99,,
5.2,,,,,96,,
5.6,,,,,80,,
4.9,,,,,88,,
4.5,,,,,87,,
2.9,,,,,82,,
4.9,,,,,87,,
3.8,,,,,87,,
2.2,,,,,75,,
5.3,,,,,82,,
3.6,,,,,90,,
6.1,,,,,71,,
3.9,,,,,96,,
4.4,,,,,91,,
5.8,,,,,90,,
5.8,,,,,108,,
4.3,,,,,95,,
3,,,,,92,,
5.1,,,,,89,,
3.9,,,,,94,,
4.9,,,,,94,,
4.3,,,,,144,,
4.6,,,,,100,,
2.9,,,,,86,,
3.4,,,,,94,,
5.5,,,,,80,,
5,,,,,88,,
5,,,,,94,,
3.5,,,,,93,,
3.4,,,,,103,,
4.8,,,,,98,,
3.1,,,,,90,,
2.3,,,,,87,,
5,,,,,109,,
5,,,,,90,,
5.1,,,,,76,,
2.9,,,,,93,,
4,,,,,90,,
4.7,,,,,84,,
2.8,,,,,90,,
4.7,,,,,81,,
2.5,,,,,102,,
2.4,,,,,89,,
5.1,,,,,87,,
5.7,,,,,101,,
3.8,,,,,95,,
7.4,,,,,155,,
4.4,,,,,86,,
4.3,,,,,81,,
4.6,,,,,85,,
3.7,,,,,91,,
4.8,,,,,85,,
3.9,,,,,81,,
4.3,,,,,98,,
2.9,,,,,85,,
4.6,,,,,112,,
3.6,,,,,85,,
3.6,,,,,87,,
4.5,,,,,87,,
4,,,,,89,,
5.7,,,,,90,,
4.1,,,,,91,,
2.2,,,,,88,,
6.2,,,,,93,,
4.4,,,,,96,,
5.5,,,,,65,,
6.2,,,,,85,,
4.8,,,,,87,,
6.4,,,,,88,,
4.5,,,,,98,,
5,,,,,88,,
3.4,,,,,82,,
3.5,,,,,86,,
3.4,,,,,89,,
7.1,,,,,80,,
5.5,,,,,87,,
5.2,,,,,98,,
4.6,,,,,108,,
5.9,,,,,103,,
5.1,,,,,104,,
5.6,,,,,87,,
5.3,,,,,90,,
2.5,,,,,84,,
2.6,,,,,83,,
3.8,,,,,80,,
4.7,,,,,82,,
5.5,,,,,85,,
6.7,,,,,91,,
2.2,,,,,81,,
5.4,,,,,114,,
4,,,,,103,,
4.4,,,,,96,,
4.9,,,,,90,,
4.5,,,,,81,,
4.8,,,,,83,,
5.7,,,,,87,,
5.1,,,,,90,,
5.4,,,,,98,,
3.7,,,,,85,,
4,,,,,87,,
5,,,,,114,,
5.6,,,,,76,,
